"item_id","food_name"
"1278684","SMOKED BEEF SAUSAGE"
"1984955","CHICKEN ITALIAN-STYLE SMOKED SAUSAGE, CHICKEN"
"2631174","SWEET BEEF BOLOGNA, SWEET BEEF"
"570913","SLICED HARD SALAMI"
"2679506","ANGUS JUMBO UNCURED BEEF FRANKS, ANGUS"
"1625306","SABRETT, SKINLESS BEEF COCKTAIL FRANKS"
"2679391","PORK SAUSAGE, HOT ITALIAN"
"1785722","HOT ITALIAN SAUSAGE, ORIGINAL"
"2553510","SKINLESS FRANKS"
"435932","THE ORIGINAL BRAT HANS, ORIGINAL BRATWURST PORK SAUSAGE"
"2018181","OLD WISCONSIN, SNACK BITES BEEF SAUSAGE"
"2303707","READY TO EAT FRANKS"
"2391770","BONE BROTH CHICKEN NOODLE SOUP, BONE BROTH CHICKEN NOODLE"
"498284","CREAMY BUTTERNUT SQUASH SOUP"
"1181387","HEARTY LENTIL SOUP"
"1627021","CAMPBELL'S, SPAGHETTI IN TOMATO SAUCE WITH CHEESE"
"619348","TORTILLA STYLE VEGAN SOUP"
"373466","BOULDER ORGANIC!, POTATO LEEK SOUP"
"2399725","PASTA SOUP MIX WITH CHICKEN FLAVOR, CHICKEN"
"2385942","HERB ROASTED CHICKEN BASE, HERB ROASTED CHICKEN"
"554113","AU JUS BASE"
"2215510","CHICKEN NOODLE SOUP, CHICKEN"
"1747707","GOURMET SPICY SHIN NOODLE SOUP, GOURMET SPICY"
"1818475","OLD FASHIONED CHILI MIX, OLD FASHIONED"
"2395379","CRACKED WHEAT ENTERTAINMENT CRACKERS, CRACKED WHEAT"
"1651947","CHUNKY CHOCOLATE CHIP COOKIES"
"2609036","DARK CHOCOLATE MINI CRISPY WAFERS WITH SEA SALT, DARK CHOCOLATE WITH SEA SALT"
"1960718","HAND DECORATED BUTTER COOKIES"
"1856127","BAKED IN BROOKLYN, FLATBREAD CRISPS, QUINOA AND CHIA, QUINOA AND CHIA"
"1624543","ORIGINAL SALTINES CRACKERS"
"659960","BAKED SANDWICH CRACKERS, CLASSIC CHEDDAR"
"1819197","SPECIALTY CRISPS, FIG & PECAN"
"1866999","CHESTNUT 100% ORGANIC CRISPBREAD, CHESTNUT"
"1854315","SHOPRITE, WHOLE WHEAT WAFERS, ROSEMARY & OLIVE OIL, ROSEMARY & OLIVE OIL"
"1582868","CULINARY CRISPS"
"2411950","100% WHOLE GRAIN REDUCED FAT SNACKS, 100% WHOLE GRAIN"
"1226183","NUCCIO'S, NUCCIO'S LINZER TARTS"
"595713","SUGAR COOKIE MUFFINS"
"2442126","ANTONINA'S ARTISAN BAKERY, MINI PANCAKES, CARROT, CARROT"
"2473308","RED VELVET MINI CUPCAKES, RED VELVET"
"2668544","LEMON POPPY SEED MUFFINS, LEMON POPPY SEED"
"840928","CHOCOLATE CHIP MUFFINS"
"487783","JUMBO HONEY BUN WITH VANILLA GLAZED"
"1661455","BANANA MUFFIN, BANANA"
"1380623","FROSTED TOASTER TREATS"
"645256","ORIGINAL JUMBO HONEY BUN, ORIGINAL"
"1656391","FROSTED TOASTER PASTRIES"
"1692674","FROSTED STRAWBERRY FLAVORED TOASTER PASTRIES, FROSTED STRAWBERRY"
