"item_id","true_label"
"1278684","cat1"
"1984955","cat1"
"2631174","cat1"
"570913","cat1"
"2679506","cat1"
"1625306","cat1"
"2679391","cat1"
"1785722","cat1"
"2553510","cat1"
"435932","cat1"
"2018181","cat1"
"2303707","cat1"
"2391770","cat2"
"498284","cat2"
"1181387","cat2"
"1627021","cat2"
"619348","cat2"
"373466","cat2"
"2399725","cat2"
"2385942","cat2"
"554113","cat2"
"2215510","cat2"
"1747707","cat2"
"1818475","cat2"
"2395379","cat3"
"1651947","cat3"
"2609036","cat3"
"1960718","cat3"
"1856127","cat3"
"1624543","cat3"
"659960","cat3"
"1819197","cat3"
"1866999","cat3"
"1854315","cat3"
"1582868","cat3"
"2411950","cat3"
"1226183","cat4"
"595713","cat4"
"2442126","cat4"
"2473308","cat4"
"2668544","cat4"
"840928","cat4"
"487783","cat4"
"1661455","cat4"
"1380623","cat4"
"645256","cat4"
"1656391","cat4"
"1692674","cat4"
